Verified in DB,Database Product Name,Source,﻿Item ID,Department Name,Item Name,Size,Item Size,Base Price Palmers,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,5000159558280,020 CANDY/GUM,Bounty Bar,Ea,100 G,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,5034660003953,020 CANDY/GUM,Cadbury Dairy Milk Chocolate Bar,Ea,100 G,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,57027470,020 CANDY/GUM,Dairy Milk Santa,Ea,100 G,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7614500010013,020 CANDY/GUM,Tob Milk Chocolate Bar 100g,Ea,100 G,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7614500010617,020 CANDY/GUM,Toblerone Dark,Ea,100 g,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7622202022272,020 CANDY/GUM,Cadbury Oreo Bites,Ea,100 G,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7622202253881,020 CANDY/GUM,Cadbury Dairy Milk Mini Eggs,Ea,100 G,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7622202257940,020 CANDY/GUM,Dairy Milk Caramel Nibbles,Ea,100 G,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7622202257964,020 CANDY/GUM,Cadbury Crunchie Rocks Bag,Ea,100 G,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,7622202259463,020 CANDY/GUM,Curlywuyly Squirlies,Ea,100 g,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8000500359488,020 CANDY/GUM,Ferrero Rocher Choclate Bars,Ea,100 G,$5.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,859917004508,020 CANDY/GUM,Daily C Strawberry Roll,Ea,100 g,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,9312165920866,020 CANDY/GUM,Mega Baby Bottle Candy,Ea,100 G,$3.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,891128148152,020 CANDY/GUM,Cherry Cream Chocolade,Ea,100 GR,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,70792600412,002 TAXABLE GROCERY,Helping Hand 100ft Natural Jute Handy Cut Twine,Ea,100 OZ,$2.89,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,71287431351,002 TAXABLE GROCERY,"Brew Rite 3"" & 3.5"" Disc Coffee Filters",Ea,100 OZ,$1.39,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,10900003117,002 TAXABLE GROCERY,Baking Cups Mini,Ea,100.0 CT,$1.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,33200002628,002 TAXABLE GROCERY,Arm& Hammer Fresh Burst Oxi Clea,Ea,100.5 Fz,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,33200002642,002 TAXABLE GROCERY,Arm & Hammer Clean Simple Det,Ea,100.5 Fz,$14.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,611269426724,012 SODA,Redbull Energy Drink 12 Pk,Ea,100.8 OZ,$27.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,611269733730,012 SODA,Sugar Free Energy Drink 12 Pk,Ea,100.8 OZ,$27.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,54000200427,002 TAXABLE GROCERY,Scott Bath Tissue,Ea,1000 CT,$1.69,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,3664346348720,020 CANDY/GUM,Terry's Chocolate Orange Minis,Ea,1003 G,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,11225658976,002 TAXABLE GROCERY,Simply Done Paper Clips Large,Ea,100CT,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,78787401594,002 TAXABLE GROCERY,INDEX CARD RUL 100S,Ea,100CT,$3.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,90146005793,002 TAXABLE GROCERY,Printworks Neon Paper,Ea,100CT,$12.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,36800127302,023 HBA,TC ASP-FR TAB 325MG REG,Ea,100S,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,41736010116,001 GROCERY,Filippo Berio Extra Virgin Oli,Ea,101 FL OZ,$56.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,13000001038,001 GROCERY,Hnz Ketchup Twin Pk,Ea,101 oz,$13.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000181610,001 GROCERY,Pure Leaf Sweet Tea 6 pk,Ea,101.4 fl oz,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000181788,001 GROCERY,Pure Leaf Peach Tea 6 pk,Ea,101.4 fl oz,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,31200202970,001 GROCERY,Ocean Spray Cranberry Apple Juice,Ea,101.4 FL OZ,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,31200203007,001 GROCERY,Ocean Spray Cranberry Juice Cocktail,Ea,101.4 FL OZ,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,31200203021,001 GROCERY,Ocean Spray Lite Cranberry Juice,Ea,101.4 FL OZ,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,31200203113,001 GROCERY,Ocean Spray 100% Cranberry Nsa,Ea,101.4 FL OZ,$7.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,41736000117,001 GROCERY,Filippo Berio Olive Oil Tin,Ea,101.4 FL OZ,$53.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000506327,001 GROCERY,Propel Water Lemon 6Pk,Ea,101.4 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000506334,001 GROCERY,Propel Water Berry 6Pk,Ea,101.4 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000506488,001 GROCERY,Propel Water Grape 6Pk,Ea,101.4 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,68274342172,001 GROCERY,Nestle Splash Wild Berry,Ea,101.4 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,68274342257,001 GROCERY,Nestle Splash Acai Grape,Ea,101.4 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,68274911460,001 GROCERY,Nestle Splash  6Pk Lemon,Ea,101.4 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,68274911477,001 GROCERY,Nestle Splash Mandaarin Orange,Ea,101.4 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,75720000821,001 GROCERY,Poland Spring Water 6Pk,Ea,101.4 FL OZ,$3.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,75720334117,001 GROCERY,Poland Spring Water 3 Ltr,Ea,101.4 FL OZ,$2.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,79298000191,001 GROCERY,Evian Water 500Ml 6Pk,Ea,101.4 FL OZ,$9.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,632565000098,001 GROCERY,Fiji Natural Water 6Pk,Ea,101.4 FL OZ,$10.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,786162003690,001 GROCERY,Smartwater 6Pk 16.9Oz,Ea,101.4 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000504082,012 SODA,Mountain Dew 6pk Plastic16.9 Oz,Ea,101.4 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,71537039207,012 SODA,Polar Seltzer 6Pk Plain,Ea,101.4 FL OZ,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000181672,001 GROCERY,Pure Leaf Lemon 6Pk,Ea,101.4 fz,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000181702,001 GROCERY,PURE LEAF RASPBERRY TEA,Ea,101.4 fz,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,12000181726,001 GROCERY,Pure Leaf Black Tea 6Pk,Ea,101.4 fz,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000002850,001 GROCERY,Propel Peach 6pk,Ea,101.4 Fz,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000041507,001 GROCERY,Propel Water Strawberry Lemona,Ea,101.4 FZ,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000506402,001 GROCERY,Propel Water Strawberry Kiwi 6,Ea,101.4 Fz,$6.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,657227206175,001 GROCERY,Essentia 6pk Water 101.4 fz,Ea,101.4 fz,$6.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,786162003508,001 GROCERY,Vitaminwater Zero Lemonade 6Pk,Ea,101.4 FZ,$8.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,786162003522,001 GROCERY,Vitaminwater Zero Orange 6Pk,Ea,101.4 FZ,$8.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,786162003553,001 GROCERY,Vitaminwater Power-C 6Pk,Ea,101.4 FZ,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,74780468251,012 SODA,Maisn Perrier Reg 6pk Plastic,Ea,101.4 Fz,$9.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,78000030204,012 SODA,Schweppes Zero Ginger Ale 6Pk Pl,Ea,101.4 Fz,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,41508400152,001 GROCERY,Aqua Panna Spr Water,Ea,101.4 OZ,$9.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,52000002843,001 GROCERY,Propel Black Cherry 6pk,Ea,101.4 OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,786162003515,001 GROCERY,Vitaminwater Zero Xxx 6Pk,Ea,101.4 OZ,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,25700013570,002 TAXABLE GROCERY,Ziploc Sandwich Bags 105 Ct,Ea,105 Ct,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,30772121047,002 TAXABLE GROCERY,Tide Liq Det Orig 80ld,Ea,105 Fz,$25.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,33200002666,002 TAXABLE GROCERY,A&h Liq Det Cl Brst 105,Ea,105 Fz,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,25700013594,002 TAXABLE GROCERY,Ziploc Snack Bags Bonus,Ea,108  CT,$5.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,30772061305,002 TAXABLE GROCERY,BNTY 12 DR SAS,Ea,1080 Ct,$32.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,785357021969,001 GROCERY,Peet's Coffee Decaf Nespresso Pods,Ea,10ct,$10.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,41660204902,001 GROCERY,Cains Hot Dog Relish,Ea,10fz,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,24515198151,001 GROCERY,Breakout Coffee Alibi Whole Bean,Ea,10Oz,$11.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,857053004567,017 SPECIALTY FOODS,Back Roads Chocolate Pecan Granola,Ea,10OZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,893920000652,017 SPECIALTY FOODS,Black Bear Ground Coffee,Ea,10oz,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,37000990352,002 TAXABLE GROCERY,Swiffer Dusters Heavy Duty Multi-Surface Refills,Ea,11 CT,$16.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,74680008557,001 GROCERY,Woebers Roasted Chipotle Mayon,Ea,11 FL OZ,$3.59,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,860000815505,001 GROCERY,Slate Classic Chocolate Milk,Ea,11 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,860000815512,001 GROCERY,Slate Dark Chocolate Milk,Ea,11 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,860000815529,001 GROCERY,Slate Espresso Chocolate Milk,Ea,11 FL OZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,74570155668,007 FROZEN FOODS,Haagen Dazs Mini Chocolate Bars,Ea,11 FL OZ,$8.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,856920005003,007 FROZEN FOODS,GoodPop Strawberry Ice Cream Bar,Ea,11 FL OZ,$5.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,856920005058,007 FROZEN FOODS,GoodPop Strawberry Lemonade Ice Cream Bars,Ea,11 FL OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381002032,017 SPECIALTY FOODS,Stonewall Kitchen Maple Chipotle Garlic Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381002308,017 SPECIALTY FOODS,Stonewall Kitchen Roasted Garlic Vinaigrette,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381002964,017 SPECIALTY FOODS,Stonewall Kitchen Roasted Garlic Peanut Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381003619,017 SPECIALTY FOODS,Stonewall Kitchen Vidalia Onion Fig Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381020272,017 SPECIALTY FOODS,Stonewall Kitchen Curried Mango Grille Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381020920,017 SPECIALTY FOODS,Stonewall Kitchen Garlic Rosemary Citrus Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381020951,017 SPECIALTY FOODS,Stonewall Kitchen Maple Balsamic Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381021989,017 SPECIALTY FOODS,Stonewall Kitchen Honey Barbecue Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381022283,017 SPECIALTY FOODS,Stonewall Kitchen Wasabi Ginger Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381022337,017 SPECIALTY FOODS,Stonewall Kitchen Olive Oil & Balsamic Dressing,Ea,11 FL OZ,$11.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381023198,017 SPECIALTY FOODS,Stonewall Kitchen Cilantro Lime Dressing,Ea,11 FL OZ,$11.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381024010,017 SPECIALTY FOODS,Stonewall Kitchen Sesame Ginger Teriyaki Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381024058,017 SPECIALTY FOODS,Stonewall Kitchen Champagne Shallot Walnut Dressing,Ea,11 FL OZ,$11.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381024065,017 SPECIALTY FOODS,Stonewall Kitchen Garlic Teriyaki Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381029893,017 SPECIALTY FOODS,Stonewall Kitchen Roasted Apple Grille Sauce,Ea,11 FL OZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381033135,017 SPECIALTY FOODS,Stonewall Kitchen Balsamic Fig Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381305782,017 SPECIALTY FOODS,Stonewall Kitchen Classic Greek Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381306550,017 SPECIALTY FOODS,Stonewall Kitchen Classic Italian Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381309056,017 SPECIALTY FOODS,Stonewall Kitchen Pineapple Ginger Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381311448,017 SPECIALTY FOODS,Stonewall Kitchen Roasted Peach Whiskey Sauce,Ea,11 FL OZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381311455,017 SPECIALTY FOODS,Stonewall Kitchen Bourbon Molasses BBQ Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381317532,017 SPECIALTY FOODS,Stonewall Kitchen Sesame Ginger Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381317556,017 SPECIALTY FOODS,Stonewall Kitchen Sriracha Teriyaki Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381322123,017 SPECIALTY FOODS,Stonewall Kitchen Lemon Dijon Vinaigrette,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381323595,017 SPECIALTY FOODS,Stonewall Kitchen Bozzy Bacon,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381323601,017 SPECIALTY FOODS,Stonewall Kitchen Honey Sriracha BBQ Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381325490,017 SPECIALTY FOODS,Stonewall Kitchen Bacon Ranch Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381325520,017 SPECIALTY FOODS,Stonewall Kitchen Maple Bacon Balsamic Dressing,Ea,11 FL OZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381328712,017 SPECIALTY FOODS,Stonewall Kitchen Miso Ginger Dressing,Ea,11 FL OZ,$10.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381333570,017 SPECIALTY FOODS,Stonewall Kitchen Buffalo Wing Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381334768,017 SPECIALTY FOODS,Stonewall Kitchen Seafood Remoulade Sauce,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381334782,017 SPECIALTY FOODS,Legal Sea Foods Lemon Dill Marinade & Dressing,Ea,11 FL OZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381337905,017 SPECIALTY FOODS,Stonewall Kitchen Basil Garlic Olive Oil Dressing,Ea,11 FL OZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381338599,017 SPECIALTY FOODS,Stonewall Kitchen Creamy Avocado Cilantro Dressing,Ea,11 FL OZ,$11.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,66479000088,001 GROCERY,Clr Canadian Orch Peach,Ea,11 Fz,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,98100100300,001 GROCERY,Starbucks Vanilla Cold Brew Can,Ea,11 Fz,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,98100100348,001 GROCERY,Starbucks Salted Caramel Cold Br,Ea,11 Fz,$5.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,190646630157,001 GROCERY,Oat Milk Chocolate,Ea,11 Fz,$2.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,5010115900596,001 GROCERY,Lyles Golden Syrup,Ea,11 fz,$5.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,850029742234,001 GROCERY,Slate French Vanilla Shake,Ea,11 FZ,$4.59,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,850029742241,001 GROCERY,Slate Vanilla Latte,Ea,11 FZ,$4.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,17000209296,002 TAXABLE GROCERY,DIAL LHS GOLD,Ea,11 Fz,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,17000209333,002 TAXABLE GROCERY,Dial Lhs Lvndr&jasmine,Ea,11 Fz,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,17000209395,002 TAXABLE GROCERY,Dial Lhs White Tea,Ea,11 Fz,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,17000209456,002 TAXABLE GROCERY,Dial Lhs Aloe,Ea,11 Fz,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,17000209531,002 TAXABLE GROCERY,Dial Lhs Spring Water,Ea,11 Fz,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,48500206034,006 DAIRY,Tropicana Orange Juice NP,Ea,11 FZ,$2.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,48500206058,006 DAIRY,Tropicana Orange Juice Calcium,Ea,11 FZ,$2.79,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,856920005027,007 FROZEN FOODS,Goodpop Hibiscus Mint,Ea,11 Fz,$6.99,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,899684002406,007 FROZEN FOODS,Jolly Llama Sandwich Vanilla Nondairy,Ea,11 Fz,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,66479000026,012 SODA,Clearly Canadian Strawberry,Ea,11 Fz,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,66479000057,012 SODA,Clr Canadian Wld Chry,Ea,11 Fz,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,66479000064,012 SODA,Clr Canadian Blackbrry,Ea,11 Fz,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,66479000071,012 SODA,Clr Canadian Raspberry,Ea,11 Fz,$2.59,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381031940,017 SPECIALTY FOODS,STONEWALL BLUE CHEESE DRSSNG,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381311479,017 SPECIALTY FOODS,STONEWALL RANCH DRESSING,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381311486,017 SPECIALTY FOODS,Stonewall Kitchen Thousand Island Dressing,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381332016,017 SPECIALTY FOODS,Swk Country French Dressing,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381335079,017 SPECIALTY FOODS,Stonewall Kitchen Lemon & Avoc,Ea,11 FZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381340523,017 SPECIALTY FOODS,Stonewall Hawaiian Grille Sauce,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381341599,017 SPECIALTY FOODS,SWK Everything Salad Dressing,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381342527,017 SPECIALTY FOODS,Hot Honey Wing Sauce,Ea,11 FZ,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381342534,017 SPECIALTY FOODS,Stonewall Chimichurri Grille Sauce,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381342541,017 SPECIALTY FOODS,Stonewall Hickory Brown Sugar Grille Sauce,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381342558,017 SPECIALTY FOODS,SWK Cucumber Dill Dressing,Ea,11 FZ,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381344781,017 SPECIALTY FOODS,STONEWALL KITCHEN STICKY GARLIC WING SAUCE,Ea,11 Fz,$8.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381344798,017 SPECIALTY FOODS,SWK Port Wine Mushroom Sauce,Ea,11 Fz,$9.49,,,,,,,,,,,,,,,,,,,,
NOT TESTED,,,711381345672,017 SPECIALTY FOODS,SWK Sriracha Ranch Dressing,Ea,11 Fz,$8.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,11210008427,001 GROCERY,Tabasco Sriracha Sauce,Ea,11 Oz,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,14100055112,001 GROCERY,Peppridge  Farm Brioche Dinner R,Ea,11 Oz,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,16000125421,001 GROCERY,General Mills Cheerios Apple Cinnamon Cereal,Ea,11 OZ,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,16000219854,001 GROCERY,NV Protein French Vanilla Granol,Ea,11 Oz,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,16000429406,001 GROCERY,Betty Crocker Pie Crust Mix,Ea,11 OZ,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,16000437791,001 GROCERY,Nature Valley Oats & Honey Protein Granola,Ea,11 OZ,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000100098,001 GROCERY,Green Giant No Salt Corn Nible,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000104195,001 GROCERY,Green Giant Corn Niblets,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000104539,001 GROCERY,Green Giant Select Corn,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000105468,001 GROCERY,Gg Wht Shoepeg Corn,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000108216,001 GROCERY,Green Giant Sweet Select Corn,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000112749,001 GROCERY,Green Giant Sweet Corn Yellow/,Ea,11 OZ,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,20000261614,001 GROCERY,Gg Corn Wht Super Swt,Ea,11 oz,$2.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,24600010412,001 GROCERY,Morton Lite Salt,Ea,11 OZ,$3.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,28000217303,001 GROCERY,Nestle Butterscotch Morsels,Ea,11 OZ,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,28400002110,001 GROCERY,SANITITAS CHIPS,Ea,11 oz,$2.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,28400518178,001 GROCERY,Tostitos Guacamole Chips,Ea,11 oz,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,28400713269,001 GROCERY,Tostitos Three Cheese Bite Size,Ea,11 Oz,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,30100124603,001 GROCERY,Klggs Club Mini Gar Prm,Ea,11 Oz,$5.99,,,,,,,,,,,,,,,,,,,,
